id,code,codeType,category,severity,applicableRegions,applicableBrands,title,description,causes,actions,url
b1200,B1200,manufacturer_specific,body,warning,US|EU|Global,,B1200 - Climate Control Pushbutton Circuit Failure,"Fault code B1200 means ""Climate Control Pushbutton Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1200/
b1201,B1201,manufacturer_specific,body,warning,US|EU|Global,,B1201 - Fuel Sender Circuit Failure,"Fault code B1201 means ""Fuel Sender Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1201/
b1202,B1202,manufacturer_specific,body,warning,US|EU|Global,,B1202 - Fuel Sender Circuit Open,"Fault code B1202 means ""Fuel Sender Circuit Open"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1202/
b1203,B1203,manufacturer_specific,body,warning,US|EU|Global,,B1203 - Fuel Sender Circuit Short To Battery,"Fault code B1203 means ""Fuel Sender Circuit Short To Battery"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1203/
b1204,B1204,manufacturer_specific,body,warning,US|EU|Global,,B1204 - Fuel Sender Circuit Short To Ground,"Fault code B1204 means ""Fuel Sender Circuit Short To Ground"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1204/
b1205,B1205,manufacturer_specific,body,warning,US|EU|Global,,B1205 - EIC Switch-1 Assembly Circuit Failure,"Fault code B1205 means ""EIC Switch-1 Assembly Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1205/
b1206,B1206,manufacturer_specific,body,warning,US|EU|Global,,B1206 - EIC Switch-1 Assembly Circuit Open,"Fault code B1206 means ""EIC Switch-1 Assembly Circuit Open"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1206/
b1207,B1207,manufacturer_specific,body,warning,US|EU|Global,,B1207 - EIC Switch-1 Assembly Circuit Short To Battery,"Fault code B1207 means ""EIC Switch-1 Assembly Circuit Short To Battery"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1207/
b1208,B1208,manufacturer_specific,body,warning,US|EU|Global,,B1208 - EIC Switch-1 Assembly Circuit Short To Ground,"Fault code B1208 means ""EIC Switch-1 Assembly Circuit Short To Ground"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1208/
b1209,B1209,manufacturer_specific,body,warning,US|EU|Global,,B1209 - EIC Switch-2 Assembly Circuit Failure,"Fault code B1209 means ""EIC Switch-2 Assembly Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1209/
b1210,B1210,manufacturer_specific,body,warning,US|EU|Global,,B1210 - EIC Switch-2 Assembly Circuit Open,"Fault code B1210 means ""EIC Switch-2 Assembly Circuit Open"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1210/
b1211,B1211,manufacturer_specific,body,warning,US|EU|Global,,B1211 - EIC Switch-2 Assembly Circuit Short To Battery,"Fault code B1211 means ""EIC Switch-2 Assembly Circuit Short To Battery"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1211/
b1212,B1212,manufacturer_specific,body,warning,US|EU|Global,,B1212 - EIC Switch-2 Assembly Circuit Short To Ground,"Fault code B1212 means ""EIC Switch-2 Assembly Circuit Short To Ground"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1212/
b1213,B1213,manufacturer_specific,body,warning,US|EU|Global,,B1213 - Anti-Theft Number of Programmed Keys Is Below Minimum,"Fault code B1213 means ""Anti-Theft Number of Programmed Keys Is Below Minimum"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1213/
b1214,B1214,manufacturer_specific,body,warning,US|EU|Global,,B1214 - Running Board Lamp Circuit Failure,"Fault code B1214 means ""Running Board Lamp Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1214/
b1215,B1215,manufacturer_specific,body,warning,US|EU|Global,,B1215 - Running Board Lamp Circuit Short to Battery,"Fault code B1215 means ""Running Board Lamp Circuit Short to Battery"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1215/
b1216,B1216,manufacturer_specific,body,warning,US|EU|Global,,B1216 - Emergency & Road Side Assistance Switch Circuit Short to Ground,"Fault code B1216 means ""Emergency & Road Side Assistance Switch Circuit Short to Ground"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1216/
b1217,B1217,manufacturer_specific,body,warning,US|EU|Global,,B1217 - Horn Relay Coil Circuit Failure,"Fault code B1217 means ""Horn Relay Coil Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1217/
