id,code,fullName,system,systemName,alertType,alertTypeCode,number,descriptiveName,category,severity,hasDescription,originalDescription,title,description,url
adsp-w001,ADSP_w001,ADSP_w001_flashInit,ADSP,Audio DSP,warning,w,001,flashInit,network,warning,true,Failed to initialize flash,ADSP_w001 - flash Init,Tesla warning code in the Audio DSP (ADSP) module. Failed to initialize flash,https://evfaultcode.com/en/tesla/alerts/adsp-w001/
adsp-w002,ADSP_w002,ADSP_w002_exception,ADSP,Audio DSP,warning,w,002,exception,network,warning,true,Exception occurred,ADSP_w002 - exception,Tesla warning code in the Audio DSP (ADSP) module. Exception occurred,https://evfaultcode.com/en/tesla/alerts/adsp-w002/
adsp-w003,ADSP_w003,ADSP_w003_assert,ADSP,Audio DSP,warning,w,003,assert,network,warning,true,Assertion occurred,ADSP_w003 - assert,Tesla warning code in the Audio DSP (ADSP) module. Assertion occurred,https://evfaultcode.com/en/tesla/alerts/adsp-w003/
adsp-w004,ADSP_w004,ADSP_w004_malloc,ADSP,Audio DSP,warning,w,004,malloc,network,warning,true,Malloc failed,ADSP_w004 - malloc,Tesla warning code in the Audio DSP (ADSP) module. Malloc failed,https://evfaultcode.com/en/tesla/alerts/adsp-w004/
adsp-w005,ADSP_w005,ADSP_w005_stackOverflow,ADSP,Audio DSP,warning,w,005,stackOverflow,network,warning,true,Stack overflow,ADSP_w005 - stack Overflow,Tesla warning code in the Audio DSP (ADSP) module. Stack overflow,https://evfaultcode.com/en/tesla/alerts/adsp-w005/
adsp-w006,ADSP_w006,ADSP_w006_eavbSeqno,ADSP,Audio DSP,warning,w,006,eavbSeqno,network,warning,false,,ADSP_w006 - eavb Seqno,Tesla warning code in the Audio DSP (ADSP) module related to eavb seqno.,https://evfaultcode.com/en/tesla/alerts/adsp-w006/
adsp-w007,ADSP_w007,ADSP_w007_ethLinkErr,ADSP,Audio DSP,warning,w,007,ethLinkErr,network,warning,true,ETH link error,ADSP_w007 - eth Link Err,Tesla warning code in the Audio DSP (ADSP) module. ETH link error,https://evfaultcode.com/en/tesla/alerts/adsp-w007/
adsp-w008,ADSP_w008,ADSP_w008_internalTempHigh,ADSP,Audio DSP,warning,w,008,internalTempHigh,network,warning,true,High internal temperature,ADSP_w008 - internal Temp High,Tesla warning code in the Audio DSP (ADSP) module. High internal temperature,https://evfaultcode.com/en/tesla/alerts/adsp-w008/
adsp-w009,ADSP_w009,ADSP_w009_12vFiltBkupLow,ADSP,Audio DSP,warning,w,009,12vFiltBkupLow,network,warning,true,P12V0-FILT-BKUP low,ADSP_w009 - 12v Filt Bkup Low,Tesla warning code in the Audio DSP (ADSP) module. P12V0-FILT-BKUP low,https://evfaultcode.com/en/tesla/alerts/adsp-w009/
adsp-w010,ADSP_w010,ADSP_w010_12vAudioFiltLow,ADSP,Audio DSP,warning,w,010,12vAudioFiltLow,network,warning,true,P12V0-AUDIO-FILT low,ADSP_w010 - 12v Audio Filt Low,Tesla warning code in the Audio DSP (ADSP) module. P12V0-AUDIO-FILT low,https://evfaultcode.com/en/tesla/alerts/adsp-w010/
adsp-w011,ADSP_w011,ADSP_w011_armHighCpuUsage,ADSP,Audio DSP,warning,w,011,armHighCpuUsage,network,warning,true,ARM core high CPU usage,ADSP_w011 - arm High CPU Usage,Tesla warning code in the Audio DSP (ADSP) module. ARM core high CPU usage,https://evfaultcode.com/en/tesla/alerts/adsp-w011/
adsp-w012,ADSP_w012,ADSP_w012_sharc0HighCpuUsage,ADSP,Audio DSP,warning,w,012,sharc0HighCpuUsage,network,warning,true,SHARC0 core high CPU usage,ADSP_w012 - sharc0High CPU Usage,Tesla warning code in the Audio DSP (ADSP) module. SHARC0 core high CPU usage,https://evfaultcode.com/en/tesla/alerts/adsp-w012/
adsp-w013,ADSP_w013,ADSP_w013_sharc1HighCpuUsage,ADSP,Audio DSP,warning,w,013,sharc1HighCpuUsage,network,warning,true,SHARC1 core high CPU usage,ADSP_w013 - sharc1High CPU Usage,Tesla warning code in the Audio DSP (ADSP) module. SHARC1 core high CPU usage,https://evfaultcode.com/en/tesla/alerts/adsp-w013/
adsp-w014,ADSP_w014,ADSP_w014_eavbOverrun,ADSP,Audio DSP,warning,w,014,eavbOverrun,network,warning,true,EAVB overrun,ADSP_w014 - eavb Overrun,Tesla warning code in the Audio DSP (ADSP) module. EAVB overrun,https://evfaultcode.com/en/tesla/alerts/adsp-w014/
adsp-w015,ADSP_w015,ADSP_w015_eavbUnderrun,ADSP,Audio DSP,warning,w,015,eavbUnderrun,network,warning,true,EAVB underrun,ADSP_w015 - eavb Underrun,Tesla warning code in the Audio DSP (ADSP) module. EAVB underrun,https://evfaultcode.com/en/tesla/alerts/adsp-w015/
adsp-w016,ADSP_w016,ADSP_w016_usbRxOverrun,ADSP,Audio DSP,warning,w,016,usbRxOverrun,network,warning,true,USB Rx overrun SHARC0 AWE frame overload SHARC1 AWE frame overload,ADSP_w016 - USB RX Overrun,Tesla warning code in the Audio DSP (ADSP) module. USB Rx overrun SHARC0 AWE frame overload SHARC1 AWE frame overload,https://evfaultcode.com/en/tesla/alerts/adsp-w016/
adsp-w017,ADSP_w017,ADSP_w017_usbRxUnderrun,ADSP,Audio DSP,warning,w,017,usbRxUnderrun,network,warning,true,USB Rx underrun,ADSP_w017 - USB RX Underrun,Tesla warning code in the Audio DSP (ADSP) module. USB Rx underrun,https://evfaultcode.com/en/tesla/alerts/adsp-w017/
adsp-w018,ADSP_w018,ADSP_w018_usbTxOverrun,ADSP,Audio DSP,warning,w,018,usbTxOverrun,network,warning,true,USB Tx overrun,ADSP_w018 - USB TX Overrun,Tesla warning code in the Audio DSP (ADSP) module. USB Tx overrun,https://evfaultcode.com/en/tesla/alerts/adsp-w018/
adsp-w019,ADSP_w019,ADSP_w019_usbTxUnderrun,ADSP,Audio DSP,warning,w,019,usbTxUnderrun,network,warning,true,USB Tx underrun,ADSP_w019 - USB TX Underrun,Tesla warning code in the Audio DSP (ADSP) module. USB Tx underrun,https://evfaultcode.com/en/tesla/alerts/adsp-w019/
adsp-w020,ADSP_w020,ADSP_w020_usbTxFailed,ADSP,Audio DSP,warning,w,020,usbTxFailed,network,warning,true,USB Tx failed,ADSP_w020 - USB TX Failed,Tesla warning code in the Audio DSP (ADSP) module. USB Tx failed,https://evfaultcode.com/en/tesla/alerts/adsp-w020/
adsp-w021,ADSP_w021,ADSP_w021_usbTxAborted,ADSP,Audio DSP,warning,w,021,usbTxAborted,network,warning,true,USB Tx aborted,ADSP_w021 - USB TX Aborted,Tesla warning code in the Audio DSP (ADSP) module. USB Tx aborted,https://evfaultcode.com/en/tesla/alerts/adsp-w021/
adsp-w022,ADSP_w022,ADSP_w022_emacErr,ADSP,Audio DSP,warning,w,022,emacErr,network,warning,true,EMAC error,ADSP_w022 - emac Err,Tesla warning code in the Audio DSP (ADSP) module. EMAC error,https://evfaultcode.com/en/tesla/alerts/adsp-w022/
adsp-w023,ADSP_w023,ADSP_w023_ethEtharpErr,ADSP,Audio DSP,warning,w,023,ethEtharpErr,network,warning,true,ETH etharp error,ADSP_w023 - eth Etharp Err,Tesla warning code in the Audio DSP (ADSP) module. ETH etharp error,https://evfaultcode.com/en/tesla/alerts/adsp-w023/
adsp-w024,ADSP_w024,ADSP_w024_ethIpfragErr,ADSP,Audio DSP,warning,w,024,ethIpfragErr,network,warning,true,ETH ipfrag error,ADSP_w024 - eth Ipfrag Err,Tesla warning code in the Audio DSP (ADSP) module. ETH ipfrag error,https://evfaultcode.com/en/tesla/alerts/adsp-w024/
adsp-w025,ADSP_w025,ADSP_w025_ethIpErr,ADSP,Audio DSP,warning,w,025,ethIpErr,network,warning,true,ETH IP error,ADSP_w025 - eth Ip Err,Tesla warning code in the Audio DSP (ADSP) module. ETH IP error,https://evfaultcode.com/en/tesla/alerts/adsp-w025/
adsp-w026,ADSP_w026,ADSP_w026_ethIcmpErr,ADSP,Audio DSP,warning,w,026,ethIcmpErr,network,warning,true,ETH ICMP error,ADSP_w026 - eth Icmp Err,Tesla warning code in the Audio DSP (ADSP) module. ETH ICMP error,https://evfaultcode.com/en/tesla/alerts/adsp-w026/
adsp-w027,ADSP_w027,ADSP_w027_ethUdpErr,ADSP,Audio DSP,warning,w,027,ethUdpErr,network,warning,true,ETH UDP error,ADSP_w027 - eth Udp Err,Tesla warning code in the Audio DSP (ADSP) module. ETH UDP error,https://evfaultcode.com/en/tesla/alerts/adsp-w027/
